Breed,Year,Count
German Shorthaired Pointer,1935,38
Pomeranian,1935,1936
Poodle,1935,287
Pug,1935,123
Chesapeake Bay Retriever,1935,178
Curly-Coated Retriever,1935,4
Flat-Coated Retriever,1935,2
Golden Retriever,1935,35
Labrador Retriever,1935,126
Rottweiler,1935,18
Saint Bernard,1935,425
Saluki,1935,22
Samoyed,1935,125
Schipperke,1935,199
Scottish Deerhound,1935,4
Scottish Terrier,1935,7104
Sealyham Terrier,1935,692
English Setter,1935,884
Gordon Setter,1935,62
Irish Setter,1935,1179
Shetland Sheepdog,1935,120
Siberian Husky,1935,20
Skye Terrier,1935,46
Clumber Spaniel,1935,40
Spaniel (All Cockers),1935,9035
English Springer Spaniel,1935,2861
Irish Water Spaniel,1935,18
Sussex Spaniel,1935,1
Standard Schnauzer,1935,233
Cardigan Welsh Corgi,1935,4
Pembroke Welsh Corgi,1935,16
Welsh Terrier,1935,269
West Highland White Terrier,1935,184
Whippet,1935,56
Wirehaired Pointing Griffon,1935,12
Yorkshire Terrier,1935,65
Eskimo,1935,5
Affenpinscher,1936,7
Afghan Hound,1936,82
Airedale Terrier,1936,822
Basset Hound,1936,87
Beagle,1936,4302
Bedlington Terrier,1936,95
Belgian Sheepdog,1936,6
Bloodhound,1936,109
Border Terrier,1936,2
Borzoi,1936,100
Boston Terrier,1936,10673
Bouvier des Flandres,1936,5
Boxer,1936,328
Briard,1936,24
Brittany,1936,39
Brussels Griffon,1936,64
Bull Terrier,1936,419
Bulldog,1936,2081
Bullmastiff,1936,12
Cairn Terrier,1936,580
Chihuahua,1936,562
Chow Chow,1936,3528
Collie,1936,1825
Dachshund,1936,2169
Dalmatian,1936,283
Dandie Dinmont Terrier,1936,74
Doberman Pinscher,1936,1440
English Toy Spaniel (Blenheim and Prince Charles),1936,52
Fox Terrier,1936,7470
American Foxhound,1936,8
French Bulldog,1936,247
German Shepherd,1936,872
Giant Schnauzer,1936,29
Great Dane,1936,1340
Great Pyrenees,1936,44
Greyhound,1936,4226
Harrier,1936,10
Irish Terrier,1936,984
Irish Wolfhound,1936,63
Italian Greyhound,1936,8
Japanese Chin,1936,75
Keeshond,1936,61
Kerry Blue Terrier,1936,334
Kuvasz,1936,8
Lakeland Terrier,1936,14
Lhasa Apso,1936,14
Maltese,1936,20
Manchester Terrier,1936,385
Mastiff,1936,18
Miniature Pinscher,1936,102
Miniature Schnauzer,1936,234
Newfoundland,1936,245
Norwegian Elkhound,1936,160
Norwich Terrier,1936,5
Old English Sheepdog,1936,142
Otterhound,1936,2
Papillon,1936,19
Pekingese,1936,4150
Pointer,1936,361
German Shorthaired Pointer,1936,65
Pomeranian,1936,2097
Poodle,1936,317
Pug,1936,118
Puli,1936,12
Chesapeake Bay Retriever,1936,167
Curly-Coated Retriever,1936,7
Flat-Coated Retriever,1936,3
Golden Retriever,1936,68
Labrador Retriever,1936,174
Rottweiler,1936,2
Saint Bernard,1936,518
Saluki,1936,34
Samoyed,1936,189
Schipperke,1936,204
Scottish Deerhound,1936,9
Scottish Terrier,1936,8359
Sealyham Terrier,1936,707
English Setter,1936,1111
Gordon Setter,1936,97
Irish Setter,1936,1458
Shetland Sheepdog,1936,165
Siberian Husky,1936,22
Skye Terrier,1936,14
Clumber Spaniel,1936,40
Spaniel (All Cockers),1936,12714
English Springer Spaniel,1936,3270
Irish Water Spaniel,1936,31
Sussex Spaniel,1936,5
Staffordshire Bull Terrier,1936,66
Standard Schnauzer,1936,260
Cardigan Welsh Corgi,1936,9
Pembroke Welsh Corgi,1936,33
Welsh Terrier,1936,463
West Highland White Terrier,1936,183
Whippet,1936,29
Wirehaired Pointing Griffon,1936,8
Yorkshire Terrier,1936,91
Affenpinscher,1937,9
Afghan Hound,1937,80
Airedale Terrier,1937,828
Basset Hound,1937,113
Beagle,1937,4390
Bedlington Terrier,1937,96
Belgian Sheepdog,1937,3
Bernese Mountain Dog,1937,2
Bloodhound,1937,104
Borzoi,1937,120
Boston Terrier,1937,9400
Bouvier des Flandres,1937,7
Boxer,1937,581
Briard,1937,30
Brittany,1937,51
Brussels Griffon,1937,107
Bull Terrier,1937,436
Bulldog,1937,2132
Bullmastiff,1937,15
Cairn Terrier,1937,556
Chihuahua,1937,582
Chow Chow,1937,2839
Collie,1937,1904
Dachshund,1937,2780
Dalmatian,1937,374
Dandie Dinmont Terrier,1937,54
Doberman Pinscher,1937,1541
English Toy Spaniel (Blenheim and Prince Charles),1937,78
Fox Terrier,1937,6328
American Foxhound,1937,2
English Foxhound,1937,12
French Bulldog,1937,202
German Shepherd,1937,816
Giant Schnauzer,1937,25
Great Dane,1937,1321
Great Pyrenees,1937,58
Greyhound,1937,4324
Harrier,1937,2
Irish Terrier,1937,969
Irish Wolfhound,1937,62
Italian Greyhound,1937,1
Japanese Chin,1937,112
Keeshond,1937,20
Kerry Blue Terrier,1937,341
Kuvasz,1937,18
Lakeland Terrier,1937,53
Lhasa Apso,1937,18
Maltese,1937,5
Manchester Terrier,1937,420
Mastiff,1937,28
Miniature Pinscher,1937,156
Miniature Schnauzer,1937,200
Newfoundland,1937,244
Norwegian Elkhound,1937,160
Norwich Terrier,1937,11
Old English Sheepdog,1937,124
Otterhound,1937,1
Papillon,1937,33
Pekingese,1937,3735
Pointer,1937,356
German Shorthaired Pointer,1937,97
Pomeranian,1937,2115
Poodle,1937,368
Pug,1937,108
Puli,1937,5
Chesapeake Bay Retriever,1937,200
Curly-Coated Retriever,1937,12
Flat-Coated Retriever,1937,6
Golden Retriever,1937,65
Labrador Retriever,1937,277
Rottweiler,1937,6
Saint Bernard,1937,524
Saluki,1937,30
Samoyed,1937,158
Schipperke,1937,238
Scottish Deerhound,1937,5
