Breed,Year,Count
Japanese Chin,1933,75.0
Keeshond,1933,3.0
Kerry Blue Terrier,1933,122.0
Maltese,1933,26.0
Manchester Terrier-XX,1933,10.0
Manchester Terrier (Toy),1933,213.0
Manchester Terrier,1933,223.0
Mastiff,1933,8.0
Miniature Pinscher,1933,33.0
Miniature Schnauzer,1933,63.0
Newfoundland,1933,123.0
Norwegian Elkhound,1933,101.0
Old English Sheepdog,1933,39.0
Otterhound,1933,3.0
Papillon,1933,25.0
Pekingese,1933,3255.0
Pointer,1933,199.0
German Shorthaired Pointer,1933,16.0
Pomeranian,1933,1312.0
Poodle (miniature),1933,127.0
Poodle (toy),1933,3.0
Poodle,1933,130.0
Pug,1933,87.0
Chesapeake Bay Retriever,1933,70.0
Curly-Coated Retriever,1933,1.0
Flat-Coated Retriever,1933,3.0
Golden Retriever,1933,28.0
Labrador Retriever,1933,84.0
Rottweiler,1933,5.0
Saint Bernard,1933,274.0
Saluki,1933,18.0
Samoyed,1933,102.0
Schipperke,1933,118.0
Scottish Deerhound,1933,3.0
Scottish Terrier,1933,4540.0
Sealyham Terrier,1933,475.0
English Setter,1933,677.0
Gordon Setter,1933,49.0
Irish Setter,1933,932.0
Shetland Sheepdog,1933,56.0
Siberian Husky,1933,5.0
Skye Terrier,1933,5.0
Clumber Spaniel,1933,12.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1933,4396.0
Spaniel (All Cockers),1933,4396.0
English Springer Spaniel,1933,1731.0
Irish Water Spaniel,1933,10.0
Sussex Spaniel,1933,1.0
Standard Schnauzer,1933,216.0
Welsh Terrier,1933,163.0
West Highland White Terrier,1933,74.0
Whippet,1933,22.0
Wirehaired Pointing Griffon,1933,4.0
Yorkshire Terrier,1933,67.0
Eskimo,1933,7.0
Afghan Hound,1934,25.0
Airedale Terrier,1934,613.0
Basset Hound,1934,47.0
Beagle,1934,3404.0
Bedlington Terrier,1934,30.0
Belgian Sheepdog,1934,8.0
Bloodhound,1934,55.0
Border Terrier,1934,4.0
Borzoi,1934,102.0
Boston Terrier,1934,10460.0
Boxer,1934,71.0
Briard,1934,16.0
Brittany,1934,10.0
Brussels Griffon,1934,50.0
Bull Terrier,1934,350.0
Bulldog,1934,1483.0
Bullmastiff,1934,4.0
Cairn Terrier,1934,431.0
Chihuahua,1934,248.0
Chow Chow,1934,3876.0
Collie,1934,1230.0
Dachshund-XX  (long-haired),1934,42.0
Daschund-XX (smooth),1934,1233.0
Daschund-XX (wire-haired),1934,53.0
Dachshund,1934,1328.0
Dalmatian,1934,149.0
Dandie Dinmont Terrier,1934,44.0
Doberman Pinscher,1934,1044.0
English Toy Spaniel (Blenheim and Prince Charles),1934,49.0
English Toy Spaniel (All),1934,49.0
Fox Terrier (Smooth),1934,378.0
Fox Terrier (Wire),1934,6703.0
